codigo;produto;familia;contextos;proteina_padrao;setor_default;revisar_setor
5529;- 5 SASHIMI SALMAO;Sushi / Japonês;Rodízio | Sushi / Japonês;Salmão inteiro fresco;SUSHI_BAR;NÃO
5536;- TEMAKI HOT;Sushi / Japonês;Rodízio | Sushi / Japonês;;SUSHI_BAR;NÃO
5532;- ⁠5 ATUM MACARICADO;Peixaria / Proteínas;Rodízio | Sushi / Japonês;Atum para sashimi;SUSHI_BAR;SIM
5530;- ⁠5 SALMAO MACARICADO;Peixaria / Proteínas;Rodízio | Sushi / Japonês;Salmão inteiro fresco;SUSHI_BAR;SIM
5531;- ⁠5 SASHIMI ATUM;Sushi / Japonês;Rodízio | Sushi / Japonês;Atum para sashimi;SUSHI_BAR;NÃO
5535;- ⁠BRIZA SALMAO;Peixaria / Proteínas;Rodízio;Salmão inteiro fresco;SUSHI_BAR;NÃO
5533;- ⁠ROLL COUVE CRISPY;Sushi / Japonês;Rodízio;;SUSHI_BAR;SIM
5671;5  HADDOCK -SASHIMI;Sushi / Japonês;Rodízio;Haddock defumado;SUSHI_BAR;NÃO
5552;5 sashimi de peixe branco;Sushi / Japonês;Rodízio | Sushi / Japonês;Peixe branco para sushi;SUSHI_BAR;NÃO
1282;6 POP CHICKENS-RDZ;Rodízio;Rodízio;;KITCHEN;NÃO
1399;ABACATE -AC;Outros;Outros | Peixaria / Proteínas | Poke Kauai;;POKE;NÃO
1378;ALFACE AMERICANA-AC;Outros;Outros | Poke Kauai;;POKE;NÃO
1404;ALFACE ROXO-AC;Outros;Outros | Peixaria / Proteínas | Poke Kauai;;POKE;NÃO
1421;AMENDOA -AC;Outros;Poke Kauai;;POKE;NÃO
1414;AMENDOIM-AC;Outros;Outros | Poke Kauai;;POKE;NÃO
5733;ANEIS DE LULA-RDZ;Rodízio;Rodízio;Lula inteira;KITCHEN;NÃO
1379;ARROZ JAPONES -AC;Outros;Outros | Poke Kauai;;POKE;NÃO
5351;ARROZ JAPONES-BASE;Outros;Outros | Peixaria / Proteínas | Poke Kauai | Rodízio;;SUSHI_BAR;SIM
5633;AZEITE TRUFADO;Outros;Outros | Rodízio | Sushi / Japonês;;SUSHI_BAR;SIM
1382;AZEITONA-AC;Outros;Outros | Poke Kauai;;POKE;NÃO
5310;BATATA FRITA- 1/2PORÇAO;Outros;Outros | Rodízio;;KITCHEN;NÃO
1375;BOWL |  ATUM ESPECIAL;Peixaria / Proteínas;Peixaria / Proteínas;Atum para sashimi;POKE;NÃO
1374;BOWL |  PULLED PORK BBQ;Peixaria / Proteínas;Peixaria / Proteínas;;POKE;NÃO
